ID,PCA Request ID,NORMALIZED_NAME,Name,Description,type,Domains,Superclass,Intended UoM,Scalar Quantity,Provenance,Scope,Range,Regularity,Other
DRG000001,2,,Sour Service Specification,Sour Service specification,IMF-PROP,http://rds.posccaesar.org/ontology/lis14/rdl/Artefact,Classification Datum,,,,,,,Object
DRG000002,1,,Maximum external load,"Load limitation, normally expressed in ohms, as given by supplier / manufacturer",IMF-PROP,http://rds.posccaesar.org/ontology/lis14/rdl/Artefact,Datasheet Quantity Datum,Ohm,Resistance,,,Maximum,,
DRG000003,,,Minimum Operating Lower Fluid Density,Minimum Operating Lower Fluid Density,,,,,,,,,,Object
DRG000004,,,Maximum Operating Lower Fluid Density,Maximum Operating Lower Fluid Density,,,,,,,,,,Object
DRG000005,,,Minimum Operating Upper Fluid Density,Minimum Operating Upper Fluid Density,,,,,,,,,,Object
DRG000006,,,Reset type ,Automatic or Manual,,http://rds.posccaesar.org/ontology/lis14/rdl/Artefact,Datasheet Quantity Datum,,,,,,,
DRG000007,,,Maximum Operating Upper Fluid Density,Maximum Operating Upper Fluid Density,,,,,,,,,,
DRG000008,,,Mimimum Operating Vapour Density,Mimimum Operating Vapour Density,,,,,,,,,,
DRG000009,,,Maximum Operating Vapour Density,Maximum Operating Vapour Density,,,,,,,,,,
DRG000010,,,Normal Operating Vapour Density,Normal Ooperating Vapour Density,,,,,,,,,,
DRG000011,,,Minimum Operating Vapour Viscosity,Minimum Operating Vapour Viscosity,,,,,,,,,,
DRG000012,,NPSH3_AT_RATED_FLOW,NPSH3 AT RATED FLOW,Is the net positive suction head available to a pump under test at rated flow when the pump head is decreased by 3 percent as a result of cavitation caused by a decreasing available suction head.,,,,,,,,,,
DRG000013,,PUMP_THRUST_MIN_FLOW,PUMP THRUST AT MINIMUM FLOW,Is the summation of unbalanced impeller forces acting in the axial direction at rated flow.,,,,,,,,,,
DRG000014,,PUMP_THRUST_RUNOUT_DOWN,PUMP THRUST AT CURVE RUN-OUT - DOWN,Is the summation of unbalanced impeller forces acting in the axial direction at the conditions of runout from lower end of the pump's curve.,,,,,,,,,,
DRG000015,,PUMP_THRUST_RUNOUT_UP,PUMP THRUST AT CURVE RUN-OUT - UP,Is the summation of unbalanced impeller forces acting in the axial direction at the conditions of runout from higher end of the pump's curve.,,,,,,,,,,
DRG000018,,SEAL_SECONDARY_PLAN,SEAL SECONDARY PLAN,Is an AUXILIARY FLSUH SYSTEM that is an assembly of functional units necessary for running a pump unit,,,https://staging3.data.posccaesar.org/rdl/RDS14308963,,,,,,,
DRG000019,,AUXILIARY_TO_CASING_CONNECTION_CONFIG,AUXILIARY TO CASING CONNECTION CONFIGURATION,The configuration of a connection point between an auxiliary system and the pump's casing,,,,,,,,,,
DRG000020,,EXTERNAL_SEAL_FLUSH_FLUID,EXTERNAL SEAL FLUSH FLUID,"A fluid that is external to the process, and is used for seal flush purposes.",,,,,,,,,,
DRG000021,,PIPING_PLAN_CONSTRUCTION,PIPING PLAN CONSTRUCTION,A piping plan construction can either be tubing or piping.,,,,,,,,,,
DRG000022,,WELD_CASTINGS,WELDED CASTINGS,Cast segments or parts that are joined to other parts by welding,,,,,,,,,,
DRG000023,,WELD_SKID,WELDED SKID,A welded skid,,,,,,,,,,
DRG000024,,WELD_PIPES,WELDED PIPES,Pipes that are joined by welding,,,,,,,,,,
DRG000025,,PROVIDED_BY,PROVIDED/SUPPLIED BY,The party responsible for providing or supplying a specific item,,,,,,,,,,
DRG000026,,MOUNTED_BY,MOUNTED/INSTALLED BY,The party responsible for mounting or installing a specific item,,,,,,,,,,
DRG000027,,DIAMETER_MIN,LOWER LIMIT DIAMETER,Is a diameter which is the smallest acceptable or expected,,,,,,,,,,
DRG000028,,DIAMETER_RATED,RATED DIAMETER,Is a diameter which is used for the normal operating conditions.,,,,,,,,,,
DRG000029,,THRUST_AT_DESIGN_FLOW,THRUST AT DESIGN FLOW,Thrust force at the condition of design flow,,,,,,,,,,
DRG000030,,THRUST_AT_MIN_FLOW,THRUST AT MIN FLOW,Thrust force at the condition of minimum flow,,,,,,,,,,
DRG000031,,THRUST_AT_RUNOUT_DOWN,DOWN THRUST AT PUMP'S CURVE RUNOUT,Down thrust force at runout conditions (too high flow - too low pressure),,,,,,,,,,
DRG000032,,THRUST_AT_RUNOUT_UP,UP THRUST AT PUMP'S CURVE RUNOUT,Up thrust force at runout conditions (too high flow - too low pressure),,,,,,,,,,
DRG000034,,TYPE,TYPE,It generally represents type specification,,,,,,,,,,
DRG000036,,GLAND_PLATE_TAPS,GLAND PLATE TAPS,A statement that shows which gland plate taps are required (Quench\Flush\Drain\Vent).,,,,,,,,,,
DRG000040,,OPEN_BEAM_SUPPORT_GROUTING,OPEN BEAM SUPPORT GROUTING,Specifies whether the open beam support is grouted or not.,,,,,,,,,,
DRG000042,,PACKING_TYPE,PACKING TYPE,The type of the packing used to seal.,,,,,,,,,,
DRG000043,,TEST_ATTENDANCE,TEST ATTENDANCE,Describes whether subject test was Witnessed/Non-witnessed/Observed.,,,,,,,,,,
DRG000044,,TEST_STANDARD,TEST STANDARD,Specifies the standard on which a procedure is based.,,,,,,,,,,
DRG000045,,ACCEPTANCE_CRITERIA,ACCEPTANCE CRITERIA,Specifies the criteria to pass a specific test.,,,,,,,,,,
DRG000046,,SPAN_MIN,SPAN MIN,Smallest difference between the min/max of the calibrated range of an instrument can be adjusted to,,,,,,,,,,
DRG000047,,SPAN_MAX,SPAN MAX,Largest difference between the min/max of the calibrated range of an instrument can be adjusted to,,,,,,,,,,
DRG000048,,MAX_ALLOWABLE_PRESSURE_AT_15C,UPPER LIMIT ALLOWABLE PRESSURE AT 15C,Upper limit allowable pressure at 15 degrees celsius,,,,,,,,,,
DRG000049,,MAX_ALLOWABLE_PRESSURE_AT_WORKING_TEMP,UPPER LIMIT ALLOWABLE PRESSURE AT WORKING TEMP,Upper limit allowable pressure at normal working temperature,,,,,,,,,,
DRG000050,,DISMANTLE_AND_INSPECT_AFTER_TESTING,DISMANTLE AND INSPECT AFTER TESTING,Specifies whether equipment is dismantled and inspected for specific wear/damage after testing.,,,,,,,,,,
DRG000051,,MOTOR_EFFICIENCY_CLASS,EFFICIENCY CLASS,"Motor Efficiency class  according to IEC 60034-30 , (IE3\IE2\IE4\IE1\other)",,,,,,,,,,
DRG000052,,DIMENSION_STANDARD,DIMENSION STANDARD,A set of specifications defining the dimensions and tolerances to ensure compatibility and interchangeability across different applications and manufacturers.,,,,,,,,,,
DRG000053,,CASTING_REPAIR_PROCEDURE_APPROVAL,CASTING REPAIR PROCEDURE APPROVAL,Whether there is an approved casting repair procedure available.,,,,,,,,,,
DRG000054,,TOTAL_CONSUMPTION_INSTRUMENT_AIR,INSTRUMENT AIR TOTAL CONSUMPTION,An <instrument air consumption> is a <volume flow rate> of instrument air consumed by all <instrument air consumers> related to one major unit.,,,,,,,,,,
DRG000055,,TOTAL_CONSUMPTION_COOLING_WATER,COOLING WATER TOTAL CONSUMPTION,A <cooling water consumption> is a <volume flow rate> of cooling water consumed by all sub-systems related to one major unit.,,,,,,,,,,
DRG000056,,PUMP_COLUMN_MAX_LIQUID_VELOCITY,MAX LIQUID VELOCITY IN VERTICAL PUMP COLUMN,The maximum velocity of the liquid flowing in a vertical pump's column,,,,,,,,,,
DRG000057,,FLOAT_AND_ROD,FLOAT AND ROD MECHANISM,A mechanism that transmits the liquid level in a tank or sump to a control unit that activates/deactivates the pump based on liquid level.,,,,,,,,,,
DRG000058,,FLOAT_SWITCH,FLOAT SWITCH,A device used to control the operation of a pump based on the liquid level in a tank or sump.,,,,,,,,,,
DRG000059,,MISCELLANEOUS_CONNECTIONS,MISCELLANEOUS CONNECTIONS,Any other connections that doesn't fall under otherwise specified connection groups.,,,,,,,,,,
DRG000060,,ALTITUDE,ALTITUDE,Altitude (elevation from sea level).,,,,,,,,,,
DRG000061,,BASEPLATE_SIZED_TO_ACCOMMODATE_SEAL_PIPING_SYSTEMS,BASEPLATE SIZED TO ACCOMMODATE SEAL PIPING SYSTEMS,Clarifies whether the baseplate is required to be sized to accommodate seal piping systems or not.,,,,,,,,,,
DRG000062,,GREASE_GRADE,GREASE GRADE,Specifies the grease grade,,,,,,,,,,
DRG000063,,LUBRICATION_OIL_VISCOSITY_ISO_GRADE,LUBRICATION OIL VISCOSITY ISO GRADE,ISO grade of lubrication oil viscosity,,,,,,,,,,
DRG000064,,BEARING_OIL_MIST_RECLASSIFIERS,BEARING OIL MIST RECLASSIFIERS,A device that reclassifies the oil mist generated by lubrication systems.,,,,,,,,,,
DRG000065,,REVIEW_AND_ACCEPTANCE_OF_THRUST_BEARING_SIZE,REVIEW AND ACCEPTANCE OF THRUST BEARING SIZE,Review and acceptance of thrust bearing size,,,,,,,,,,
DRG000066,,BALANCED_TO_ISO_21940-11_G1.0,BALANCED TO ISO 21940-11 Grade G1.0,"Whether the proposed device's rotating components are required to be dynamically balanced to ISO 21940-11, Grade G1.0.",,,,,,,,,,
DRG000067,,NOZZLE_LOADS_REFERENCE,NOZZLE LOADS REFERENCE,The suction and discharge nozzles allowable forces and moments requirementS source/standard.,,,,,,,,,,
DRG000068,,NOZZLE_CONFIGURATION,NOZZLE CONFIGURATION OR POSITION,The nozzle configuration or position (top\side\in-line\end\bottom\bell),,,,,,,,,,
DRG000069,,SS_PLATE_5MM_UNDER_ALL_PUMP_FEET,SS PLATE 5MM UNDER ALL PUMP FEET,"Whether stainless steel plates, thickness 0.2 in. (5 mm) minimum, under all pump feet, are required for the proposed pump.",,,,,,,,,,
DRG000070,,WELDED_CONNECTION_DESIGN_APPROVAL,WELDED CONNECTION DESIGN APPROVAL PRIOR TO FABRICATION,Whether connection design approval prior to fabrication is required. Applicable to any welded connections.,,,,,,,,,,
DRG000071,,AUXILIARY_TEMP_PRECONDITIONING_LINE,AUXILIARY TEMPERATURE PRECONDITIONING LINE,Whether a separate warm-up or cooldown line is required for instantaneous start-up of a main equipment.,,,,,,,,,,
DRG000072,,APPLICABLE_EXTENT_SPECIFICATION,APPLICABLE EXTENT SPECIFICATION,The parts/areas/subsystems that something applies to.,,,,,,,,,,
DRG000073,,PACKAGE_ESTIMATED_MASS,PACKAGE ESTIMATED MASS,The overall estimated mass of a functional package.,,,,,,,,,,
DRG000074,,SHAFT_FLEXIBILITY_INDEX,SHAFT FLEXIBILITY INDEX (SFI),A measure used in the field of rotor dynamics to assess the flexibility of a shaft system. Lower SFI suggests less flexibility and greater stiffness.,,,,,,,,,,
DRG000075,,SHRINK_FIT_LIMITED_MOVEMENT_IMPELLERS,SHRINK FIT LIMITED MOVEMENT IMPELLERS,"A specific type of impeller design impellers that are used in high-performance centrifugal pumps. The impeller is mounted onto the pump shaft using a shrink fit method, so that the impeller contracts and tightly fits onto the shaft, with a limited axial or radial movement allowed between the impeller and the shaft.",,,,,,,,,,
DRG000076,,COOLING_WATER_PIPING_PLAN_JIP33_SPECIFIC,COOLING WATER PIPING PLAN JIP33 SPECIFIC,"The pump cooling water plan required according to Annex B for piping plans, as mentioned in the comment in S-615.",,,,,,,,,,
DRG000077,,COMPONENTS_BALANCE_GRADE,COMPONENTS BALANCE GRADE,A specification or rating used to assess the balance quality of the components of an assembly.,,,,,,,,,,
DRG000078,,HYDRAULIC_FIT,HYDRAULIC FIT,A fitting method where parts are mounted onto a shaft or other components by being slightly and temporarily expanded using hydraulic power.,,,,,,,,,,
DRG000079,,COUPLING_PROPRIETARY_CLAMPING_DEVICE,COUPLING PROPRIETARY CLAMPING DEVICE,"A specialized coupling device that uses a unique clamping mechanism to securely join two shafts, ensuring precise alignment and efficient power transmission.",,,,,,,,,,
DRG000080,,EXPOSED_SHAFT_GUARD,EXPOSED SHAFT GUARD,A safety device or protective covering designed to shield and safeguard an exposed shaft on a piece of machinery to prevent accidental contact with the rotating shaft.,,,,,,,,,,
DRG000081,,STARTING_METHOD,STARTING METHOD,The method or procedure used to initiate the rotation of a motor or an engine.,,,,,,,,,,
DRG000082,,TEMP_CLASS_NFPA,NFPA NEC SECTION 500-5(D) TEMPERATURE CLASS,"A specific subsection within Article 500 of the National Electrical Code (NEC), which covers the classification of hazardous (classified) locations. This subsection addresses the classification of Class I, Division 1 locations.",,,,,,,,,,
DRG000083,,RATING_METHOD,RATING METHOD,"Refers to determining the capacity, performance characteristics, and limitations of an artefact, to be associated to other equipment, under specific operating conditions (including continuous duty, intermittent duty, maximum power output, efficiency, and other parameters).",,,,,,,,,,
DRG000084,,SIZED_FOR_TESTING_ON_WATER,SIZED FOR TESTING ON WATER,Whether and how the driver should be rated/sized for water test of the pump. Applicable for pump water testing with contract driver for applications with relative density much less than 1.,,,,,,,,,,
DRG000085,,FRAME_OR_MODEL,FRAME OR MODEL,Specify the frame or model for subject equipment.,,,,,,,,,,
DRG000086,,NPSHA_AT_120_PERCENT_OF_RATED_FLOW,NPSHA AT 120 PERCENT OF RATED FLOW,"Specify the NPSHA at 120 % of the rated flow, and to determine if a positive margin between NPSHA and NPSH3 at 120% of the rated flow, is required.",,,,,,,,,,
DRG000087,,NPSH3_AT_120_PERCENT_OF_RATED_FLOW,NPSH3 AT 120 PERCENT OF RATED FLOW,Specify the proposed pump NPSH3 at 120 % of the rated flow.,,,,,,,,,,
DRG000088,,ADJUSTABLE_SPEED_DRIVE,ADJUSTABLE SPEED DRIVE,An adjustable speed drive is device or system that allows for the speed of the driven equipment to be varied by adjusting the power transmitted to it from the driver.,,,,,,,,,,
DRG000089,,INSTANTANEOUS_STARTUP,INSTANTANEOUS START-UP,The immediate initiation of a machine or equipment without any delay or ramp-up time.,,,,,,,,,,
DRG000090,,STARTUP_MODE,START-UP MODE,The initial operating conditions of an equipment when it is first started or activated.,,,,,,,,,,
DRG000091,,SPECIFIC_HEAT_RATED,RATED SPECIFIC HEAT,The specific heat capacity of a substance under rated conditions.,,,,,,,,,,
DRG000092,,PARTICULATE_CONCENTRATION,PARTICULATE CONCENTRATION,"The concentration of solid particles, collectively known as particulate matter, present in a fluid medium.",,,,,,,,,,
DRG000093,,DISSOLVED_SALTS_CONCENTRATION,DISSOLVED SALTS CONCENTRATION,"The concentration of inorganic salts that are dissolved in a liquid, expressed in parts per million (ppm).",,,,,,,,,,
DRG000094,,MATERIAL_INSPECTION_REQUIREMENTS,MATERIAL INSPECTION REQUIREMENTS,"The specific criteria, procedures, and standards set forth for inspecting and evaluating materials.",,,,,,,,,,
DRG000095,,SURFACE_EXAMINATION,SURFACE EXAMINATION,Involves visual inspection and non-destructive testing techniques to assess the condition and integrity of the external surfaces of a component.,,,,,,,,,,
DRG000096,,REPAIR_AND_HEAT_TREATMENT_RECORDS_KEEPING,REPAIR AND HEAT TREATMENT RECORDS KEEPING,Maintaining Documentation related to the repair work performed on a component and any associated heat treatment processes.,,,,,,,,,,
DRG000097,,API_610_MATERIALS_OF_CONSTRUCTION_CLASSES,API 610 MATERIALS OF CONSTRUCTION CLASSES,"A classes table to help with selecting appropriate materials for various components of centrifugal pumps, considering factors like fluid properties, temperature, pressure, and operating conditions.",,,,,,,,,,
DRG000098,,REDUCED_HARDNESS_MATERIALS,REDUCED HARDNESS MATERIALS,Materials with lower hardness properties than standard materials. These materials are selected to reduce wear and improve resistance to corrosion or erosion in demanding operating conditions.,,,,,,,,,,
DRG000099,,HARDNESS_STANDARD,HARDNESS STANDARD,"Standards that provide requirements and recommendations for materials selection, including hardness requirements, to ensure the integrity and reliability of equipment and components used in corrosive and sour environments.",,,,,,,,,,
DRG000100,,WEAR_COMPONENT,WEAR COMPONENT,Refers to a specific part or component of a pump's impeller that is designed to resist wear caused by the abrasive action of the fluid being pumped. ,,,,,,,,,,
DRG000101,,INDUCER,INDUCER,A component installed at the inlet of a centrifugal pump's impeller to boost fluid pressure and prevent cavitation by accelerating the flow and reducing pressure at the impeller inlet.,,,,,,,,,,
DRG000102,,SPECIAL_COATING_FOR_WETTED_PARTS,SPECIAL  COATING  FOR  WETTED  PARTS,"A protective layer applied to parts of an equipment exposed to the process fluid, enhancing corrosion and wear resistance, and improving the longevity and performance of the equipment.",,,,,,,,,,
DRG000103,,NON_WETTED_PRESSURE_RETAINING_FASTENERS,NON WETTED PRESSURE RETAINING FASTENERS,"Mechanical components, such as bolts and nuts, used in pumps or fluid systems to maintain pressure integrity but are not exposed to the process fluid.",,,,,,,,,,
DRG000104,,SHAFT_ENCLOSING_TUBE,SHAFT ENCLOSING TUBE,A protective housing that encloses the pump line shaft.,,,,,,,,,,
DRG000105,,BOWL_SHAFT,BOWL SHAFT,The portion of the line shaft that is within the pump's bowl assembly.,,,,,,,,,,
DRG000106,,PROCESS_WETTED_FASTENERS,PROCESS WETTED FASTENERS,"Mechanical components, such as bolts and nuts, used in pumps or fluid systems and are in direct contact with the process fluid.",,,,,,,,,,
DRG000107,,LINE_SHAFT_BEARING,LINE SHAFT BEARING,"A line shaft bearing is a bearing that supports and guides the line shaft in vertical pumps, allowing it to rotate smoothly and transmit power between the pump's driver and impellers or diffusers.",,,,,,,,,,
DRG000108,,LINE_SHAFT_HARD_FACING,LINE SHAFT HARD FACING,"The surface of the line shaft in a vertical pump, made of a durable material to increase resistance to wear and corrosion.",,,,,,,,,,
DRG000109,,LINE_SHAFT_SLEEVE,LINE SHAFT SLEEVE,"A separate cylindrical component that is installed over the line shaft to provide additional protection from wear, corrosion, and damage.",,,,,,,,,,
DRG000110,,BEARING_LUBRICATION_LINES,BEARING LUBRICATION LINES,Tubes or pipes (can also be channels or passages within machinery) that are specifically dedicated to delivering lubricant to the bearings.,,,,,,,,,,
DRG000111,,BOWL_BEARINGS,BOWL BEARINGS,"Cylindrical components installed in the bowl assembly of a vertical turbine pump to support and guide the line shaft, facilitating smooth rotation and minimizing friction.",,,,,,,,,,
DRG000112,,DIRECT_AXIS_SUBTRANSIENT_REACTANCE_UNSATURATED,"Direct axis subtransient reactance, xd'' (Unsat.%)","Direct axis sub-transient reactance (Xd”) is the quotient of the initial value of a sudden change in that fundamental AC component of armature voltage, which is produced by the total direct-axis armature flux, and the value of the simultaneous change in fundamental AC component of direct-axis armature current, the machine running at rated speed.",,,,,,,,,,
DRG000113,,DIRECT_AXIS_SUBTRANSIENT_REACTANCE_SATURATED,"Direct axis subtransient reactance, xd'' (sat.%)","Direct axis sub-transient reactance (Xd”) is the quotient of the initial value of a sudden change in that fundamental AC component of armature voltage, which is produced by the total direct-axis armature flux, and the value of the simultaneous change in fundamental AC component of direct-axis armature current, the machine running at rated speed. Saturated values are calculated by applying a short circuit to a machine operating at rated open circuit voltage. Saturated values are calculated by applying a short circuit to a machine operating at rated open circuit voltage",,,,,,,,,,
